Curvature[131]  -0.232406 1.24053 0.21815
Curvature[132]  2.53112 1.29742 -7.09727
Curvature[133]  -0.418634 -2.30976 5.67155
Curvature[134]  -0.0770013 -0.614467 -0.860187
Curvature[135]  -0.221712 0.571267 0.314101
Curvature[136]  3.76227 -3.29612 5.01913
Curvature[137]  0.0109347 0.835288 0.286331
Curvature[138]  -0.0652991 -0.246302 1.16682
Curvature[139]  -0.0308512 0.810766 1.10614
Curvature[140]  -0.181808 1.13553 1.23002
Curvature[141]  0.0100917 -0.440923 -0.324549
Curvature[142]  0.479536 1.77321 3.48672
Curvature[143]  2.35891 0.699473 7.74769
Curvature[144]  0.10547 -0.525525 3.20015
Curvature[145]  0.365058 -0.208703 0.996699
Curvature[146]  0.325276 0.131415 -1.15584
Curvature[147]  0.364347 -0.485595 3.69423
Curvature[148]  -0.413327 1.06959 1.29446
Curvature[149]  0.00804265 0.00497876 0.0563017
Curvature[150]  4.48985 6.01833 12.4577
Curvature[151]  0.0757243 2.246 1.23193
Curvature[152]  0.238834 0.730374 -0.342328
Curvature[153]  -0.180803 -0.611184 0.38686
Curvature[154]  -0.167985 0.0646151 -0.122071
Curvature[155]  -0.166437 -0.150854 1.11569
Curvature[156]  -0.649242 0.476488 -2.38448
Curvature[157]  -0.281653 -0.0288792 1.00356
Curvature[158]  0.846787 -0.116946 2.67547
Curvature[159]  1.20698 0.390789 -0.354342
Curvature[160]  -3.5522 -0.51133 -5.31028
Curvature[161]  -0.513865 1.83417 3.03842
Curvature[162]  1.38554 0.720432 0.643045
Curvature[163]  -6.60666 0.593097 0.623619
Curvature[164]  -2.12581 -1.01995 1.13879
Curvature[165]  -0.0994008 -0.0887094 0.647971
Curvature[166]  -0.019674 -0.0200288 1.2912
Curvature[167]  -0.378927 0.874079 0.779474
Curvature[168]  0.0466076 0.993619 0.609026
Curvature[169]  0.116422 0.201567 -0.121903
Curvature[170]  -0.760209 -0.35055 1.84302
Curvature[171]  -0.205356 -1.41718 5.62406
Curvature[172]  0.411966 0.266356 -1.55674
Curvature[173]  -0.0779186 0.189257 -1.37805
Curvature[174]  0.0216571 0.526931 0.603799
Curvature[175]  -0.224233 -0.814064 -0.0920575
Curvature[176]  -0.829114 -3.61233 -7.26035
Curvature[177]  1.04039 0.0845136 0.515559
Curvature[178]  0.241595 0.54343 0.150149
Curvature[179]  0.106882 0.576289 -0.119997
Curvature[180]  -1.30176 -2.89224 -2.67302
Curvature[181]  -0.409637 1.22318 0.288004
Curvature[182]  2.19212 -1.0599 2.79819
Curvature[183]  0.615989 1.94567 -7.51667
Curvature[184]  -0.288563 0.0302548 -1.10809
Curvature[185]  0.68349 -0.252687 2.88595
Curvature[186]  0.00107346 0.0369209 0.0463456
Curvature[187]  0.203972 0.485064 0.893759
Curvature[188]  0.153964 -0.227809 -0.410832
Curvature[189]  1.10923 1.55546 3.27557
Curvature[190]  -0.0458395 -0.130695 0.314075
Curvature[191]  0.0776019 0.0350298 -0.152516
Curvature[192]  0.71726 -0.296478 2.43403
Curvature[193]  -0.244592 0.07891 -0.631757
Curvature[194]  0.523454 1.64994 -6.4964
Curvature[195]  0.203515 0.497088 -1.13007
Curvature[196]  0.373008 0.779569 1.25654
Curvature[197]  -5.32931 0.722592 0.720477
Curvature[198]  -1.32301 -4.53002 -3.70665
Curvature[199]  1.70756 3.42571 3.74164
Curvature[200]  -0.613131 -1.01885 2.29413
Curvature[201]  -0.221275 1.76947 0.7149
Curvature[202]  -0.749244 -0.380233 4.48843
Curvature[203]  0.0836186 1.28698 1.58445
Curvature[204]  0.122892 1.90352 2.42648
Curvature[205]  -0.928894 0.305023 -1.15653
Curvature[206]  0.571475 0.683961 0.491225
Curvature[207]  -0.159736 0.730351 -0.0255865
Curvature[208]  0.0164034 -0.105152 -0.822872
Curvature[209]  0.123253 -0.135514 2.09369
Curvature[210]  4.49145 2.50799 -7.22959
Curvature[211]  0.032349 2.19672 3.5466
Curvature[212]  -0.341194 -0.301889 0.958034
Curvature[213]  -0.850534 -1.25666 3.97556
Curvature[214]  0.405487 -1.44527 4.83374
Curvature[215]  -0.455593 0.840642 -0.421031
Curvature[216]  0.105728 -0.206735 -0.267199
Curvature[217]  3.43033 0.292257 -1.7459
Curvature[218]  -1.33236 2.32362 1.23477
Curvature[219]  -3.37246 0.539356 -0.265035
Curvature[220]  0.259792 1.27633 0.547672
Curvature[221]  0.674463 -4.17008 5.4317
Curvature[222]  -0.231295 0.323402 -1.84131
Curvature[223]  -0.765857 -0.23204 3.10092
Curvature[224]  0.19757 -0.267044 1.04618
Curvature[225]  -0.170735 0.086058 -1.24113
Curvature[226]  -0.525873 1.51253 1.52825
Curvature[227]  2.50072 0.377924 -1.45537
Curvature[228]  0.621002 0.388006 -0.226849
Curvature[229]  -0.0786971 -0.461817 0.868088
Curvature[230]  -0.303665 -0.145709 2.95023
Curvature[231]  0.0103521 1.0474 0.0491801
Curvature[232]  -0.0660104 -0.0172252 0.144658
Curvature[233]  -0.00660119 0.10046 4.22317
Curvature[234]  1.35191 1.80695 3.08263
Curvature[235]  -0.689506 0.196078 -1.36811
Curvature[236]  0.951949 1.43477 3.22685
Curvature[237]  0.0789757 -0.260755 -0.11733
Curvature[238]  -1.86546 6.69528 4.85122
Curvature[239]  -1.46863 2.23984 1.03407
Curvature[240]  0.048624 -0.0104914 0.123319
Curvature[241]  -0.413351 -0.374711 1.09618
Curvature[242]  -0.313098 -0.0947865 2.21736
Curvature[243]  1.56738 0.248924 4.84159
Curvature[244]  -0.389929 0.0179395 -1.63553
Curvature[245]  0.23736 0.0370811 1.43099
Curvature[246]  1.85789 -0.0825548 0.0755271
Curvature[247]  0.797625 1.70107 2.72592
Curvature[248]  0.359827 0.884548 0.0138287
Curvature[249]  -0.455552 2.14685 1.40096
Curvature[250]  -0.483258 -0.893021 2.53842
Curvature[251]  -0.0299208 0.815226 -2.36563
Curvature[252]  -0.090857 -1.39012 3.87515
Curvature[253]  0.162956 0.439527 0.993166
Curvature[254]  -0.704428 0.73963 -6.86942
Curvature[255]  0.0325452 -0.270763 1.92182
Curvature[256]  -0.224893 0.429478 -3.72576
Curvature[257]  -0.0381217 0.0472994 0.218032
Curvature[258]  -0.0127857 0.0430846 0.579582
Curvature[259]  0.812803 0.524553 0.108568
Curvature[260]  -0.0427026 0.989235 -0.00564775
Curvature[261]  -2.96905 -0.942592 0.029155
Curvature[262]  -0.398656 -0.522164 1.18238
Curvature[263]  -0.256885 0.0635085 -0.542286
Curvature[264]  0.495323 -0.36601 2.63189
Curvature[265]  -1.39888 1.10197 -7.7666
Curvature[266]  2.02047 1.03133 -4.01184
Curvature[267]  -0.172404 0.0107541 -0.337229
Curvature[268]  -0.342442 -0.0022846 -0.937928
Curvature[269]  -0.19048 0.497047 0.819969
Curvature[270]  0.553196 0.290854 -0.520186
Curvature[271]  2.10384 -4.25849 1.11511
Curvature[272]  -0.706875 -0.467265 -0.991269
Curvature[273]  -1.11762 -0.276337 0.60154
Curvature[274]  0.213012 0.0569792 2.78504
Curvature[275]  0.485193 -0.156114 1.74452
Curvature[276]  -0.070048 -0.365802 1.51198
Curvature[277]  0.208714 0.238267 -1.30286
Curvature[278]  -0.718129 -0.711394 4.44091
Curvature[279]  0.135589 -1.1396 3.21328
Curvature[280]  0.130428 -0.160158 0.784283
Curvature[281]  0.381221 0.0383342 -4.17135
Curvature[282]  -0.609361 -0.127059 3.70001
Curvature[283]  4.26548 0.597579 -0.692352
Curvature[284]  -0.289264 0.0634319 -0.12106
Curvature[285]  -2.11242 0.174083 3.24969
Curvature[286]  1.02714 -1.41503 12.4525
Curvature[287]  -0.0881798 0.106278 1.24257
Curvature[288]  -0.0985997 0.449992 0.732571
Curvature[289]  0.0253518 0.406001 1.11833
Curvature[290]  -0.126582 0.0075334 2.58142
Curvature[291]  0.22268 1.03325 3.27956
Curvature[292]  0.2635 1.6813 0.180757
Curvature[293]  0.229514 1.23185 0.263787
Curvature[294]  -0.00309719 0.487308 0.167137
Curvature[295]  -0.679454 -0.615542 2.52877
Curvature[296]  0.338824 0.198563 -1.83539
Curvature[297]  1.62304 -0.562223 4.03358
Curvature[298]  1.48818 -0.576638 3.79836
Curvature[299]  2.14737 0.126903 -2.44951
Curvature[300]  -1.80778 0.295706 -0.349066
Curvature[301]  -1.42538 0.352091 4.46063
Curvature[302]  -0.510389 0.201308 -0.293239
Curvature[303]  1.66109 -1.77573 6.12036
Curvature[304]  -0.848194 1.66268 0.794133
Curvature[305]  0.515013 0.274745 2.87949
Curvature[306]  1.68864 0.345958 -0.0964741
Curvature[307]  -0.154436 -0.0173256 2.25074
Curvature[308]  0.781748 -0.203819 4.32112
Curvature[309]  0.477912 0.0283911 4.15455
Curvature[310]  0.039155 -0.205436 -1.28567
Curvature[311]  0.000758559 0.010244 0.173384
Curvature[312]  -2.60601 -1.59467 -4.49778
Curvature[313]  -0.0338188 0.377707 0.361845
Curvature[314]  0.0995043 0.310454 0.243131
Curvature[315]  -0.0262998 0.00304097 -0.0407486
Curvature[316]  0.491034 1.0265 0.0988527
Curvature[317]  0.0210333 -0.222713 1.71598
Curvature[318]  -0.126924 0.205837 -2.08632
Curvature[319]  0.00551388 1.19215 -0.131947
Curvature[320]  -0.295168 0.491851 1.86589
Curvature[321]  0.199958 0.281437 2.95734
Curvature[322]  0.313165 0.469865 2.25049
Curvature[323]  -3.14395 8.05266 3.36442
Curvature[324]  -1.63461 -1.43683 3.31473
Curvature[325]  -2.5211 -1.62713 -5.16013
Curvature[326]  0.0127091 1.18798 1.4247
Curvature[327]  0.0797684 1.40973 0.138372
Curvature[328]  0.948719 -0.0283436 0.305246
Curvature[329]  0.114828 0.782304 4.55632
Curvature[330]  0.610894 0.208617 1.4971
Curvature[331]  -0.102506 -0.176352 -5.27842
Curvature[332]  0.852861 1.81539 -6.82675
Curvature[333]  2.04104 0.120922 -5.66978
Curvature[334]  -0.537214 -0.48968 -4.95727
Curvature[335]  0.059557 0.502792 2.51379
Curvature[336]  0.00635932 0.0969022 0.462697
Curvature[337]  0.40323 0.6383 1.3763
Curvature[338]  1.42933 0.695506 -0.604304
Curvature[339]  -0.509493 -0.326015 -0.459388
Curvature[340]  -0.768001 0.00853122 -0.0791705
Curvature[341]  0.483982 0.331626 0.141782
Curvature[342]  -0.0890468 -0.40762 -1.98487
Curvature[343]  -0.242102 0.631212 -3.6034
Curvature[344]  -0.20873 0.649451 3.21634
Curvature[345]  1.47686 2.2395 0.900602
Curvature[346]  0.577822 2.08295 -0.453635
Curvature[347]  -0.0854005 1.0536 -0.0393325
Curvature[348]  -0.65504 0.329587 1.57316
Curvature[349]  -0.0503289 0.814823 6.12211
Curvature[350]  -0.562221 -0.601768 2.39996
Curvature[351]  -0.0364616 -0.112604 0.681897
Curvature[352]  -1.09424 0.866638 2.26573
Curvature[353]  -0.229931 1.24162 2.86323
Curvature[354]  0.873178 0.512144 0.0422832
Curvature[355]  1.70735 1.92799 0.770249
Curvature[356]  0.863869 1.70831 0.922057
Curvature[357]  -0.996015 0.470968 4.77212
Curvature[358]  0.829705 0.858009 0.119122
Curvature[359]  -1.02372 1.78813 3.60623
Curvature[360]  0.0666561 1.05931 2.19673
Curvature[361]  0.0894998 0.143365 0.338464
Curvature[362]  0.830771 -0.376585 -2.7279
Curvature[363]  0.802313 0.836304 4.55725
Curvature[364]  -0.0178036 0.0200015 0.175086
Curvature[365]  0.24162 0.0592171 1.02976
Curvature[366]  -1.02995 -0.205326 -3.11199
Curvature[367]  0.188293 -0.0932017 0.400772
Curvature[368]  -0.351897 0.0109039 1.42331
Curvature[369]  -0.78346 -0.0015265 4.52692
Curvature[370]  0.482222 1.11394 2.78358
Curvature[371]  0.159808 0.303246 0.355874
Curvature[372]  0.335796 0.283233 1.17504
Curvature[373]  14.7901 -2.97108 -0.16929
Curvature[374]  -0.0897622 0.99106 0.0983016
Curvature[375]  -1.27336 -0.659201 -0.0401341
Curvature[376]  -1.05262 0.749888 4.42375
Curvature[377]  -0.112568 0.455456 1.44223
Curvature[378]  -0.0205632 -0.0106526 1.94889
Curvature[379]  1.67921 -1.22363 -3.34112
Curvature[380]  -0.607047 1.66633 1.72939
Curvature[381]  -0.231753 1.77735 2.14118
Curvature[382]  0.237863 1.7871 2.10204
Curvature[383]  0.934756 2.12834 2.85167
Curvature[384]  -0.0964477 1.1805 0.966315
Curvature[385]  -0.72666 2.15644 2.85411
Curvature[386]  0.354494 1.30102 0.0503662
Curvature[387]  -0.193987 -0.368572 -1.60379
Curvature[388]  -0.185599 0.139904 0.65238
Curvature[389]  3.65136 -3.39569 -8.22745
Curvature[390]  0.35794 1.35821 0.932253
Curvature[391]  -0.116261 1.90265 1.52274
Curvature[392]  -0.731719 -0.457585 -2.55087
Curvature[393]  -0.386127 0.487039 1.1547
Curvature[394]  0.0387096 0.44064 1.50318
Curvature[395]  0.643438 1.11877 5.28898
Curvature[396]  0.970406 1.48245 0.419977
Curvature[397]  -3.08964 -0.381036 0.481776
Curvature[398]  -0.229122 -0.739648 -1.26295
Curvature[399]  0.553507 0.595217 2.28529
Curvature[400]  0.153542 1.11954 1.55896
Curvature[401]  -0.146801 0.661612 -0.0987737
Curvature[402]  -0.0761909 0.213508 0.0930039
Curvature[403]  0.877213 2.53506 1.21546
Curvature[404]  -0.00370028 0.0584742 0.0875876
