Lu[117]  -0.00139265 -0.00145521 -0.000397297
Lu[118]  -0.0008961 0.000618284 -0.000793671
Lu[119]  0.000150574 0.000491169 -5.0493e-005
Lu[120]  0.000206279 0.000693659 -0.000702148
Lu[121]  -1.42915e-005 0.000894953 -0.000725768
Lu[122]  0.00101914 0.000513755 -0.00125664
Lu[123]  -0.000904924 0.000576091 -0.00087829
Lu[124]  -0.00104922 0.00028576 -0.000890393
Lu[125]  -0.000896439 -0.00182613 -0.000632051
Lu[126]  5.70365e-005 -0.00127842 0.000465056
Lu[127]  0.000281912 0.000708703 -0.000585345
Lu[128]  -8.42519e-005 0.000825943 -0.000768125
Lu[129]  2.03236e-005 -0.0013427 -0.000560087
Lu[130]  -0.000659845 -0.00166757 -0.000777354
Lu[131]  0.000725108 -0.00128062 -0.00107855
Lu[132]  0.000243028 0.000448234 3.96543e-005
Lu[133]  -8.18889e-006 0.00080075 -0.000772519
Lu[134]  1.40803e-005 -0.000495529 -0.000317653
Lu[135]  0.000103124 -0.00121825 -0.000388603
Lu[136]  -0.000759363 0.000434521 -0.000149794
Lu[137]  0.000405326 -0.00118032 -0.00133004
Lu[138]  7.30393e-005 0.000751137 -0.00076305
Lu[139]  -0.000142977 -0.00118685 -0.00071302
Lu[140]  -3.74404e-005 -0.00124805 -0.000651222
Lu[141]  -0.00101083 0.000269075 -0.000798013
Lu[142]  -0.0012019 -2.87413e-005 -0.000859154
Lu[143]  -0.00127689 -8.51176e-005 -0.000874557
Lu[144]  -2.44718e-005 0.000299132 -0.000135383
Lu[145]  5.3212e-005 0.000344301 -3.36725e-006
Lu[146]  0.00037103 0.00039516 -0.000706375
Lu[147]  -4.03916e-005 0.000689548 -0.000814164
Lu[148]  9.20436e-005 -0.00105235 -0.000557854
Lu[149]  -0.000884947 -0.00135776 -0.00085447
Lu[150]  -0.000258186 -0.00133828 -6.4241e-006
Lu[151]  -5.37276e-005 -0.000552464 -0.000827261
Lu[152]  -0.00024031 0.000522541 -0.000494306
Lu[153]  -0.000197131 0.000503774 -0.000609927
Lu[154]  -0.00022961 0.000428204 -0.00050181
Lu[155]  -0.000116648 0.000226869 -0.000353045
Lu[156]  0.000142632 0.000393379 5.73178e-005
Lu[157]  0.000276512 0.000515103 -0.00075792
Lu[158]  -0.000193523 0.000590456 -0.00084556
Lu[159]  -0.00163791 -0.000692322 0.000261548
Lu[160]  -0.00101929 0.0003023 -0.00068882
Lu[161]  -0.00112165 3.57153e-005 -0.000813788
Lu[162]  -0.00139904 -0.00103668 -0.000637748
Lu[163]  0.000756849 -0.000746844 0.000193293
Lu[164]  0.000259576 9.65417e-005 -0.000499444
Lu[165]  0.000129072 0.000524943 -0.000841923
Lu[166]  -4.98532e-005 0.000509991 -0.000879986
Lu[167]  0.00016832 -0.000896481 -0.000417462
Lu[168]  -0.000330643 -0.00172852 -0.000649634
Lu[169]  -0.000189846 0.000316992 -0.000643894
Lu[170]  0.000428669 0.000286022 -0.000544857
Lu[171]  0.000432719 0.000198662 -0.000762066
Lu[172]  0.000289952 0.000339559 -0.00087224
Lu[173]  1.35484e-005 0.000323938 -0.00094763
Lu[174]  3.46995e-005 -0.000545106 -0.000255612
Lu[175]  0.000512747 0.00076048 -0.000300809
Lu[176]  -0.00105761 0.000128979 -0.000714973
Lu[177]  -0.00139762 -0.000424077 -0.000560664
Lu[178]  -0.000786017 -0.00190945 -0.0005342
Lu[179]  4.16475e-005 -0.000447623 0.000448907
Lu[180]  -0.00074448 -0.00168441 -0.000792634
Lu[181]  0.000852074 -0.00134587 -0.00103012
Lu[182]  0.000503546 -0.00046472 0.00076054
Lu[183]  0.000385733 0.000231043 -0.000852731
Lu[184]  -0.000187211 0.000392631 -0.000909651
Lu[185]  -0.000354826 0.000252041 -0.000917032
