Interior vertex normals: 
-0.678946 -0.732676 -0.0471029
-0.68098 -0.73229 -0.00420453
-0.784675 -0.577893 -0.224332
-0.0173795 0.833142 0.552786
-0.156442 0.832305 0.531784
-0.0823251 0.77393 0.627897
0.598201 0.322571 0.733556
0.225036 0.49531 0.839063
0.533305 0.602736 0.593545
0.61689 0.690718 0.3773
0.426572 0.780664 0.456728
0.642076 0.672206 0.368616
-0.885769 -0.422713 0.191643
-0.979775 -0.131405 0.150909
-0.959853 -0.280497 -0.00171586
-0.389441 -0.19637 0.899875
-0.141702 -0.0180443 0.989745
-0.422099 0.184418 0.887593
-0.141702 -0.0180443 0.989745
0.0685894 0.293474 0.953503
-0.422099 0.184418 0.887593
0.0685894 0.293474 0.953503
-0.289957 0.447219 0.84612
-0.422099 0.184418 0.887593
-0.382747 0.880121 -0.280878
-0.171695 0.938506 0.299545
0.278406 0.870437 0.405992
-0.495289 0.738322 0.457787
-0.32745 0.767127 0.551627
-0.317103 0.830506 0.457936
0.225036 0.49531 0.839063
0.059624 0.49639 0.866049
-0.190988 0.687863 0.700263
0.761987 0.627324 0.160748
0.31654 0.944272 0.0902877
0.433832 0.883787 0.175243
-0.784675 -0.577893 -0.224332
-0.68098 -0.73229 -0.00420453
-0.812365 -0.57987 0.0617613
0.237933 0.848703 0.472326
0.488621 0.796186 0.356844
0.642076 0.672206 0.368616
-0.389441 -0.19637 0.899875
-0.404 -0.261753 0.87651
-0.141702 -0.0180443 0.989745
-0.182401 0.598478 0.780099
-0.246043 0.683924 0.686812
-0.440855 0.572568 0.69124
0.684198 0.608181 0.402478
0.233479 0.948395 0.214554
0.335482 0.787998 0.516247
-0.151396 0.890877 0.428273
-0.510233 0.784132 0.353269
-0.45358 0.787604 0.417069
-0.523376 0.497614 0.691707
-0.580724 0.237325 0.77874
-0.388605 0.494554 0.777434
-0.93229 0.296678 -0.206923
-0.873236 0.407798 -0.26676
-0.885679 0.204309 -0.41693
0.0445914 -0.548884 -0.834708
-0.0143902 -0.453625 -0.891077
0.0556897 -0.508327 -0.859362
0.138322 0.0694631 -0.987948
-0.113771 0.065796 -0.991326
-0.00369303 0.0917619 -0.995774
-0.419973 0.791359 0.444268
0.081865 0.982693 0.166167
