Lc[133]  0.699942 4.12243 -10.7334
Lc[134]  0.111466 0.903682 1.25534
Lc[135]  0.453204 -1.16649 -0.65469
Lc[136]  -7.76521 6.82004 -10.3396
Lc[137]  -0.0177345 -1.71908 -0.576202
Lc[138]  0.160018 0.583849 -2.51827
Lc[139]  0.0548317 -1.58417 -2.17448
Lc[140]  0.360857 -2.22619 -2.43726
Lc[141]  -0.0571427 1.06068 1.1122
Lc[142]  -0.977203 -3.32957 -6.99825
Lc[143]  -4.89615 -1.59174 -15.0622
Lc[144]  -0.245207 0.984742 -6.05732
Lc[145]  -0.669268 0.383108 -1.86994
Lc[146]  -0.461241 -0.163751 1.50244
Lc[147]  -0.654892 0.923702 -6.86267
Lc[148]  0.776237 -2.03361 -2.4173
Lc[149]  -0.0690015 -0.102784 -0.254282
Lc[150]  -8.86793 -12.0265 -24.9044
Lc[151]  -0.140506 -4.33907 -2.41056
Lc[152]  -0.481867 -1.43058 0.683407
Lc[153]  0.340936 1.1117 -0.711916
Lc[154]  -0.214307 -0.221679 0.45336
Lc[155]  0.338002 0.318268 -2.23249
Lc[156]  1.25973 -0.959156 4.90703
Lc[157]  0.53402 0.0902429 -1.97075
Lc[158]  -1.57732 0.279756 -5.13387
Lc[159]  -2.4239 -0.793556 0.713794
Lc[160]  7.01171 0.845573 10.1863
Lc[161]  0.936008 -3.65017 -6.11575
Lc[162]  -2.61531 -1.35965 -1.21579
Lc[163]  13.8974 -1.26408 -1.30645
Lc[164]  4.07863 1.96513 -2.14931
Lc[165]  0.177983 0.177705 -1.22475
Lc[166]  -0.00580319 0.0528818 -2.39417
Lc[167]  0.676912 -1.58229 -1.4232
Lc[168]  -0.111217 -2.18223 -1.34264
Lc[169]  -0.220158 -0.397951 0.205085
Lc[170]  1.65866 0.841117 -3.67142
Lc[171]  0.812728 2.46441 -9.90605
Lc[172]  -0.718739 -0.486044 2.79049
Lc[173]  0.137007 -0.345263 2.42796
Lc[174]  -0.0315622 -1.08894 -1.21805
Lc[175]  0.518966 1.61001 0.0187887
Lc[176]  1.97551 6.93363 14.0967
Lc[177]  -2.0122 -0.161956 -0.99331
Lc[178]  -0.568004 -1.27262 -0.359783
Lc[179]  -0.176743 -0.890921 0.194749
Lc[180]  2.19929 4.95534 4.5975
Lc[181]  0.84721 -2.53881 -0.596319
Lc[182]  -3.94411 1.90791 -5.16146
Lc[183]  -1.4048 -3.27406 12.8825
Lc[184]  0.482536 -0.0681679 1.8118
Lc[185]  -1.28827 0.451219 -5.27322
Lc[186]  -0.020515 -0.223931 -0.289864
Lc[187]  -0.398747 -0.949014 -1.75344
Lc[188]  -0.294411 0.606951 1.02371
Lc[189]  -2.26944 -3.24465 -6.76413
Lc[190]  0.048093 0.179221 -0.305205
Lc[191]  -0.149308 -0.136937 0.623362
Lc[192]  -1.29944 0.563447 -4.50726
Lc[193]  0.442982 -0.157089 1.19223
Lc[194]  -1.04858 -3.20308 12.8089
Lc[195]  -0.325802 -0.822619 1.87119
Lc[196]  -0.709152 -1.50758 -2.35895
Lc[197]  10.5839 -1.39715 -1.40064
Lc[198]  2.68027 8.62893 7.17281
Lc[199]  -3.37016 -6.89739 -7.50808
Lc[200]  1.01848 1.73771 -4.28011
Lc[201]  0.438554 -3.45736 -1.40264
Lc[202]  1.47019 0.777008 -8.97377
Lc[203]  -0.17327 -2.52298 -3.09388
Lc[204]  -0.244492 -3.59912 -4.61304
Lc[205]  1.88514 -0.619326 2.36185
Lc[206]  -1.23347 -1.49628 -1.02529
Lc[207]  0.317402 -1.45344 0.0528135
Lc[208]  -0.0264213 0.17959 1.38518
Lc[209]  -0.265981 0.323598 -4.60607
Lc[210]  -8.44685 -4.84419 14.0515
Lc[211]  -0.171574 -4.31061 -7.03651
Lc[212]  0.594807 0.527734 -1.7187
Lc[213]  1.52475 2.28132 -7.3335
Lc[214]  -0.749256 2.73396 -9.48169
Lc[215]  0.76031 -1.446 0.744182
Lc[216]  -0.0643782 0.108935 0.114146
Lc[217]  -6.90936 -0.551562 3.45593
Lc[218]  2.90233 -5.06332 -2.68944
Lc[219]  7.08597 -1.12742 0.535566
Lc[220]  -0.502024 -2.48293 -1.06611
Lc[221]  -0.95032 7.42833 -10.1345
Lc[222]  0.430712 -0.63532 3.64403
Lc[223]  1.63735 0.567074 -6.7849
Lc[224]  -0.538584 0.499004 -2.38203
Lc[225]  0.297173 -0.142163 2.04012
Lc[226]  1.04138 -3.00192 -3.02965
Lc[227]  -5.00317 -0.760744 2.90552
Lc[228]  -1.3093 -0.813992 0.473336
Lc[229]  0.159749 0.937625 -1.74334
Lc[230]  0.497499 0.31572 -5.28921
Lc[231]  -0.0168872 -2.0991 -0.0993592
Lc[232]  0.166281 0.0611814 -0.51632
Lc[233]  0.031953 -0.100496 -7.84033
Lc[234]  -2.57127 -3.42657 -5.92216
Lc[235]  1.36041 -0.373222 2.62941
Lc[236]  -1.92257 -2.90057 -6.57986
Lc[237]  -0.143107 0.484163 0.212163
Lc[238]  4.02526 -14.3763 -10.48
Lc[239]  2.94355 -4.57243 -2.11116
Lc[240]  -0.120031 0.0359712 -0.391239
Lc[241]  0.828125 0.753157 -2.3952
Lc[242]  0.56902 0.165207 -4.12461
Lc[243]  -2.55831 -0.516354 -8.90631
Lc[244]  0.61121 -0.00985818 2.6692
Lc[245]  -0.465867 -0.0593736 -2.58186
Lc[246]  -3.77468 0.156741 -0.144813
Lc[247]  -1.6421 -3.52912 -5.65993
Lc[248]  -0.762221 -1.87855 -0.0290447
Lc[249]  0.90935 -4.26507 -2.81653
Lc[250]  0.906649 1.72859 -4.81634
Lc[251]  0.0641642 -1.32884 3.8903
Lc[252]  0.126829 2.70026 -7.50782
Lc[253]  -0.235188 -0.717536 -1.54013
Lc[254]  0.972117 -1.27477 11.838
Lc[255]  -0.0545616 0.487591 -3.64153
Lc[256]  0.229347 -0.698309 6.36366
Lc[257]  0.0893648 -0.0503216 -0.474374
Lc[258]  0.0226279 -0.115423 -1.29567
Lc[259]  -1.65299 -1.06589 -0.216946
Lc[260]  0.0850966 -1.98432 0.0147296
Lc[261]  6.1747 1.95229 -0.0178723
Lc[262]  0.791034 1.01535 -2.32623
Lc[263]  0.593115 -0.136375 1.37374
Lc[264]  -0.921534 0.680187 -4.97404
Lc[265]  2.35265 -2.16929 15.2769
Lc[266]  -4.00804 -2.0644 7.68877
Lc[267]  0.306665 -0.021888 0.585936
Lc[268]  0.598596 0.00153457 1.63344
Lc[269]  0.36895 -0.976194 -1.6164
Lc[270]  -0.797154 -0.386018 0.624289
Lc[271]  -4.21983 8.40892 -2.24799
Lc[272]  1.33728 0.851849 1.87028
Lc[273]  2.07096 0.508159 -1.13951
Lc[274]  -0.451761 -0.147723 -5.33413
Lc[275]  -0.962074 0.259002 -3.49949
Lc[276]  0.227994 0.808168 -3.34721
Lc[277]  -0.327914 -0.375946 2.03849
Lc[278]  1.19338 1.30983 -8.07126
Lc[279]  -0.187088 2.18398 -6.2454
Lc[280]  -0.27564 0.367318 -1.75098
Lc[281]  -0.590891 -0.121066 7.60098
Lc[282]  0.954461 0.236841 -6.57829
Lc[283]  -8.09064 -1.09781 1.39266
Lc[284]  0.797396 -0.177595 0.321684
Lc[285]  4.3986 -0.367143 -6.66851
Lc[286]  -1.1254 2.40789 -23.0342
Lc[287]  0.170896 -0.201819 -2.38798
Lc[288]  0.201797 -0.937101 -1.521
Lc[289]  -0.0467514 -0.786328 -2.13072
Lc[290]  0.164625 -0.0986649 -5.14854
Lc[291]  -0.402362 -2.02612 -6.46865
Lc[292]  -0.512682 -3.33452 -0.360052
Lc[293]  -0.458253 -2.36693 -0.504115
Lc[294]  0.014359 0.00565726 0.0229187
Lc[295]  1.29029 1.11954 -4.64744
Lc[296]  -0.523688 -0.343335 3.06464
Lc[297]  -2.95773 1.01882 -7.58186
Lc[298]  -2.58386 1.03906 -7.13957
Lc[299]  -4.03996 -0.273888 4.62223
Lc[300]  3.46025 -0.566193 0.670607
Lc[301]  2.79089 -0.620828 -8.60491
Lc[302]  0.759413 -0.296444 0.456663
Lc[303]  -3.51979 3.47353 -12.5361
Lc[304]  1.86288 -3.64453 -1.62098
Lc[305]  -1.00004 -0.527361 -5.53325
Lc[306]  -3.19204 -0.651903 0.182486
Lc[307]  0.259589 0.0808986 -4.31555
Lc[308]  -1.47961 0.394759 -8.19583
Lc[309]  -0.806702 0.043468 -7.61821
Lc[310]  -0.057747 0.318633 1.93046
Lc[311]  -0.003852 -0.0290783 -0.397804
Lc[312]  5.33273 3.50659 9.35905
Lc[313]  0.0514105 -0.660692 -0.63866
Lc[314]  -0.135342 -0.789446 -0.56255
Lc[315]  0.0343822 0.0394748 0.07226
Lc[316]  -0.986957 -2.05432 -0.200648
Lc[317]  0.0017719 0.39807 -3.20539
Lc[318]  0.179271 -0.304306 3.36347
Lc[319]  -0.0120133 -2.43182 0.276576
Lc[320]  0.636795 -0.957253 -3.79991
Lc[321]  -0.243166 -0.496282 -5.09969
Lc[322]  -0.596217 -0.891071 -4.23979
Lc[323]  5.85582 -16.0804 -7.22801
Lc[324]  3.07895 2.76734 -6.37259
Lc[325]  4.30835 2.8239 9.02638
Lc[326]  -0.0226019 -2.25798 -2.69656
Lc[327]  -0.161215 -2.8167 -0.272356
Lc[328]  -1.37121 0.0388009 -0.455614
Lc[329]  -0.263681 -1.44719 -9.11625
Lc[330]  -1.04971 -0.343083 -2.70699
Lc[331]  0.31277 0.303025 9.49412
Lc[332]  -1.60574 -3.23113 12.8419
Lc[333]  -3.99552 -0.100483 10.733
Lc[334]  0.703748 0.797673 7.86811
Lc[335]  -0.096577 -0.906941 -4.59118
Lc[336]  -0.0389434 -0.244741 -1.11221
Lc[337]  -0.826088 -1.27847 -2.77595
Lc[338]  -2.68837 -1.29287 1.12451
Lc[339]  1.0765 0.664032 0.967248
Lc[340]  1.63917 -0.028009 0.167519
Lc[341]  -1.12632 -0.942532 -0.45682
Lc[342]  0.10378 0.613131 3.16142
Lc[343]  0.352041 -1.09912 6.16646
Lc[344]  0.445265 -1.3127 -6.30242
Lc[345]  -2.86262 -4.32054 -1.74053
Lc[346]  -1.12982 -4.08095 0.901417
Lc[347]  0.171224 -2.07591 0.0714349
Lc[348]  1.21491 -0.632713 -3.02993
Lc[349]  0.126245 -1.67574 -12.5492
Lc[350]  0.918608 0.754455 -3.64838
